MYLATEX BACKTON MATT (SK)	MYLATEX BACKTON (SK)	1.00	DUP	MATTRESS
MYLATEX BACKTON MATT (SS)	MYLATEX BACKTON (SS)	1.00	DUP	MATTRESS
MYLATEX CELESTIA MATT (K)	MYLATEX CELESTIA (K)	1.00	DUP	MATTRESS
MYLATEX CELESTIA MATT (Q)	MYLATEX CELESTIA (Q)	1.00	DUP	MATTRESS
MYLATEX CELESTIA MATT (S)	MYLATEX CELESTIA (S)	1.00	DUP	MATTRESS
MYLATEX CELESTIA MATT (SK)	MYLATEX CELESTIA (SK)	1.00	DUP	MATTRESS
MYLATEX CELESTIA MATT (SS)	MYLATEX CELESTIA (SS)	1.00	DUP	MATTRESS
MYLATEX CRESTLAKE MATT (K)	MYLATEX CRESTLAKE (K)	1.00	DUP	MATTRESS
MYLATEX CRESTLAKE MATT (Q)	MYLATEX CRESTLAKE (Q)	1.00	DUP	MATTRESS
MYLATEX CRESTLAKE MATT (S)	MYLATEX CRESTLAKE (S)	1.00	DUP	MATTRESS
MYLATEX CRESTLAKE MATT (SK)	MYLATEX CRESTLAKE (SK)	1.00	DUP	MATTRESS
MYLATEX CRESTLAKE MATT (SS)	MYLATEX CRESTLAKE (SS)	1.00	DUP	MATTRESS
MYLATEX LUMBARIA MATT (K)	MYLATEX LUMBARIA (K)	1.00	DUP	MATTRESS
MYLATEX LUMBARIA MATT (Q)	MYLATEX LUMBARIA (Q)	1.00	DUP	MATTRESS
MYLATEX LUMBARIA MATT (S)	MYLATEX LUMBARIA (S)	1.00	DUP	MATTRESS
MYLATEX LUMBARIA MATT (SK)	MYLATEX LUMBARIA (SK)	1.00	DUP	MATTRESS
MYLATEX LUMBARIA MATT (SS)	MYLATEX LUMBARIA (SS)	1.00	DUP	MATTRESS
MYLATEX VELVETON MATT (K)	MYLATEX VELVETON (K)	1.00	DUP	MATTRESS
MYLATEX VELVETON MATT (Q)	MYLATEX VELVETON (Q)	1.00	DUP	MATTRESS
MYLATEX VELVETON MATT (S)	MYLATEX VELVETON (S)	1.00	DUP	MATTRESS
MYLATEX VELVETON MATT (SK)	MYLATEX VELVETON (SK)	1.00	DUP	MATTRESS
MYLATEX VELVETON MATT (SS)	MYLATEX VELVETON (SS)	1.00	DUP	MATTRESS
DISPOSE BEDFRAME	DISPOSE	1.00	NEEDSBIND	SERVICE
DISPOSE MATTRESS	DISPOSE	1.00	NEEDSBIND	SERVICE
DISPOSE SOFA	DISPOSE	1.00	NEEDSBIND	SERVICE
TRANSPORTATION CHARGES	TRANSPORTATION CHARGES	1.00	NEEDSBIND	SERVICE
COFFEE TABLE	COFFEE TABLE	1.00	NEEDSBIND	DINING
TV CABINET	TV CABINET	1.00	NEEDSBIND	DINING
