ac_code	description	item_group	base_uom
AK-COCOON MATT (SS)	AKEMI COCOON MATTRESS (107x190x40CM)	MATTRESS	UNIT
AK-COMFORT H+C MATT (S)	HAPPI SLEEP COMFORT H+CUBE MATTRESS (91x190x13CM)	MATTRESS	UNIT
AK-COMFORT HB MATT (K)	HAPPI SLEEP COMFORT H BASE MATTRESS (183x190x20CM)	MATTRESS	UNIT
AK-COMFORT HB MATT (Q)	HAPPI SLEEP COMFORT H BASE MATTRESS (153x190x20CM)	MATTRESS	UNIT
AK-COMFORT HB MATT (S)	HAPPI SLEEP COMFORT H BASE MATTRESS (91x190x20CM)	MATTRESS	UNIT
AK-COMFORT HB MATT (SS)	HAPPI SLEEP COMFORT H BASE MATTRESS (107x190x20CM)	MATTRESS	UNIT
AK-COOL HUGGY BLANKET	AKEMI COOL HUGGY BLANKET (150x200CM)	ACC	UNIT
AK-COOL HUGGY BLANKET (SK)	AKEMI COOL HUGGY BLANKET (200x200CM)	ACC	UNIT
AK-CS AIRLOFT COMFY PIL	AKE COOL SILK AIRLOFT PILLOW	ACC	UNIT
AK-CT HYD.G BB CHC MEM PIL	AKE MEDI+HEALTH CONTOUR HYDROGEL BAMBOO CHARCOAL MEMORY PILLOW	ACC	UNIT
AK-ELEVATION MATT (K)	AKEMI ELEVATION MATTRESS (183x190x30CM)	MATTRESS	UNIT
AK-ELEVATION MATT (Q)	AKEMI ELEVATION MATTRESS (153x190x30CM)	MATTRESS	UNIT
AK-ELEVATION MATT (S)	AKEMI ELEVATION MATTRESS (91x190x30CM)	MATTRESS	UNIT
AK-ELEVATION MATT (SK)	AKEMI ELEVATION MATTRESS (SUPER KING) (200X200CM)	MATTRESS	UNIT
AK-ELEVATION MATT (SS)	AKEMI ELEVATION MATTRESS (107x190x30CM)	MATTRESS	UNIT
AK-EMINENT MATT (K)	AKEMI EMINENT MATTRESS (183x190x36CM)	MATTRESS	UNIT
AK-EMINENT MATT (Q)	AKEMI EMINENT MATTRESS (153x190x36CM)	MATTRESS	UNIT
AK-EMINENT MATT (S)	AKEMI EMINENT MATTRESS (91x190x36CM)	MATTRESS	UNIT
AK-EMINENT MATT (SK)	AKEMI EMINENT MATTRESS (SUPER KING) (200X200CM)	MATTRESS	UNIT
AK-EMINENT MATT (SP)	AKEMI EMINENT MATTRESS (SPECIAL SIZE)	MATTRESS	UNIT
AK-EMINENT MATT (SS)	AKEMI EMINENT MATTRESS (107x190x36CM)	MATTRESS	UNIT
AK-EQUINOX MATT (K)	AKEMI EQUINOX MATTRESS (183x190x30CM)	MATTRESS	UNIT
AK-EQUINOX MATT (Q)	AKEMI EQUINOX MATTRESS (153x190x30CM)	MATTRESS	UNIT
AK-EQUINOX MATT (S)	AKEMI EQUINOX MATTRESS (91x190x30CM)	MATTRESS	UNIT
AK-EQUINOX MATT (SK)	AKEMI EQUINOX MATTRESS (SUPER KING) (200X200CM)	MATTRESS	UNIT
AK-EQUINOX MATT (SP)	AKEMI EQUINOX MATTRESS (SPECIAL SIZE)	MATTRESS	UNIT
AK-EQUINOX MATT (SS)	AKEMI EQUINOX MATTRESS (107x190x30CM)	MATTRESS	UNIT
AK-EXALTED MATT (K)	AKEMI EXALTED MATTRESS (183x190x30CM)	MATTRESS	UNIT
